timestamp,longitude,latitude,speed,fuel_consumption,wind_speed,wind_direction,course,engine_power,draft,vessel_name,voyage_id,departure_port,arrival_port
2024-01-01 00:00:00,118.41342,30.815308,15.88,26.33,17.74,338.5,73.02,772.7,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 00:10:00,118.440594,30.827256,15.33,26.46,3.33,194.13,78.87,809.8,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 00:20:00,118.467767,30.839178,15.98,26.97,7.0,334.96,81.29,904.3,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 00:30:00,118.49494,30.851073,20.94,38.67,15.31,227.58,69.55,1219.1,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 00:40:00,118.522112,30.862943,15.33,28.37,8.51,316.04,64.9,823.8,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 00:50:00,118.549282,30.874787,16.25,29.25,19.84,300.44,76.45,909.1,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 01:00:00,118.576451,30.886604,15.81,27.25,7.59,340.36,70.55,804.2,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 01:10:00,118.603617,30.898395,15.67,28.28,7.63,295.87,74.37,858.4,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 01:20:00,118.630781,30.910161,16.17,28.6,19.17,40.36,65.28,823.9,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 01:30:00,118.657943,30.9219,16.25,28.11,13.25,313.72,64.31,776.7,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 01:40:00,118.685101,30.933613,16.75,30.75,4.48,202.37,82.6,921.0,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 01:50:00,118.712256,30.9453,15.32,27.68,7.82,215.35,77.36,901.5,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 02:00:00,118.739407,30.95696,16.34,29.78,4.71,342.72,76.15,964.7,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 02:10:00,118.766554,30.968595,15.74,27.04,7.24,39.46,94.77,838.6,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 02:20:00,118.793697,30.980204,16.16,26.98,6.93,42.34,76.59,748.9,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 02:30:00,118.820834,30.991786,15.76,28.72,17.32,234.49,82.23,832.3,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 02:40:00,118.847967,31.003343,16.45,30.5,14.97,227.06,82.5,902.8,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
2024-01-01 02:50:00,118.875094,31.014873,16.46,29.27,17.14,31.63,80.19,878.2,12.370721862703558,远洋一号,VOYAGE_0001,上海,新加坡
